"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3257","User login with correct email and password","LMS system","Sun Jun 28 20:20:51 UTC 2026","passed","Sun Jun 28 20:20:55 UTC 2026","Authorization","Authentication","",""
"","1671","User login with wrong email or password","LMS system","Sun Jun 28 20:20:51 UTC 2026","passed","Sun Jun 28 20:20:53 UTC 2026","Authorization","Authentication","",""
"","1733","Check displaying of empty courses list","LMS system","Sun Jun 28 20:20:57 UTC 2026","passed","Sun Jun 28 20:20:59 UTC 2026","Courses","Courses","",""
"","3438","Edit course","LMS system","Sun Jun 28 20:20:59 UTC 2026","passed","Sun Jun 28 20:21:03 UTC 2026","Courses","Courses","",""
"","1987","Registration with correct email, username and password","LMS system","Sun Jun 28 20:20:55 UTC 2026","passed","Sun Jun 28 20:20:57 UTC 2026","Registration","Authentication","",""
"","2003","Check displaying of dashboard page","LMS system","Sun Jun 28 20:21:02 UTC 2026","passed","Sun Jun 28 20:21:04 UTC 2026","Dashboard","Dashboard","",""
"","1964","User login with wrong email or password","LMS system","Sun Jun 28 20:20:49 UTC 2026","passed","Sun Jun 28 20:20:51 UTC 2026","Authorization","Authentication","",""
"","1752","Navigation from login page to registration page","LMS system","Sun Jun 28 20:20:53 UTC 2026","passed","Sun Jun 28 20:20:55 UTC 2026","Authorization","Authentication","",""
"","1878","User login with wrong email or password","LMS system","Sun Jun 28 20:20:49 UTC 2026","passed","Sun Jun 28 20:20:51 UTC 2026","Authorization","Authentication","",""
"","2682","Create course","LMS system","Sun Jun 28 20:20:59 UTC 2026","passed","Sun Jun 28 20:21:02 UTC 2026","Courses","Courses","",""
